geneSYM-ensembl,gs-vs-gc log2FC,gs-vs-gc FDR,,,
RP23-102G6.2,-0.047908099,NA,,,
RP23-393I20.2,-0.047931085,NA,,,
Mcoln1,-0.047942265,0.771570641,,,
RP23-392K24.8,-0.04795691,NA,,,
Il17d,-0.047960378,NA,,,
Usp4,-0.047973115,0.604034123,,,
RP23-121N17.4,-0.047975027,NA,,,
Kcnb1,-0.048037634,NA,,,
RP23-113O9.4,-0.048043879,NA,,,
RP23-356D13.11,-0.048049992,NA,,,
Gpr19,-0.048096016,0.865205228,,,
Ociad2,-0.048104283,0.690843922,,,
Gm22888,-0.048105069,NA,,,
Ap1s2,-0.048120063,0.758558355,,,
Foxd2,-0.048178916,NA,,,
RP24-163K10.7,-0.04819583,NA,,,
Smarcad1,-0.048206763,0.638446809,,,
Agfg2,-0.048221401,0.718927845,,,
Man2b1,-0.048245149,0.708138695,,,
Bcl10,-0.048319832,0.674684632,,,
RP24-341I21.3,-0.048332653,NA,,,
RP24-218K1.1,-0.048339768,NA,,,
Gm22615,-0.048343886,NA,,,
RP23-448A11.8,-0.04842679,NA,,,
Slc30a6,-0.048471283,0.768331958,,,
RP24-82B23.5,-0.048476557,NA,,,
Bcl2l15,-0.048477378,NA,,,
Tymp,-0.048478935,NA,,,
Canx,-0.048479213,0.491130965,,,
Zfp248,-0.04854258,0.780022471,,,
Nfasc,-0.048595551,0.880076584,,,
Nme8,-0.048618863,NA,,,
Zfp46,-0.048633915,0.666629587,,,
RP23-396K21.3,-0.04865489,NA,,,
Erbb2,-0.048657997,0.635655415,,,
RP23-358I10.4,-0.048665297,0.877419606,,,
RP23-455J6.5,-0.048677651,NA,,,
RP23-300F10.1,-0.048678265,NA,,,
Prpf40a,-0.048691742,0.561846573,,,
Cox5a,-0.048693579,0.566729054,,,
RP23-114N13.2,-0.048756005,NA,,,
Hpx,-0.0487562,NA,,,
Ppp1r3f,-0.048808123,0.874419356,,,
Rhbdl1,-0.048810032,NA,,,
Gm25134,-0.048825946,NA,,,
RP23-123M3.2,-0.048825946,NA,,,
RP23-247A1.7,-0.048825946,NA,,,
Lzts3,-0.048874066,0.808696542,,,
Tmtc3,-0.048900605,0.665685378,,,
RP23-419P16.9,-0.048922792,0.879032701,,,
Arhgef17,-0.04893088,0.602749812,,,
Pdzrn4,-0.048953821,NA,,,
Gde1,-0.048961206,0.710953028,,,
RP23-372O9.2,-0.048962998,0.734306092,,,
Ssu72,-0.048972373,0.653074684,,,
Actn1,-0.048976654,0.41021503,,,
Kat6b,-0.048979755,0.840478572,,,
Gjb5,-0.049002876,0.878364311,,,
RP23-466C15.4,-0.049008964,NA,,,
RP23-338G5.4,-0.049042207,NA,,,
Klf6,-0.049066254,0.568068121,,,
RP24-75E15.5,-0.049066901,NA,,,
Thap7,-0.049076934,0.757899271,,,
Rab3ip,-0.049077744,0.749334456,,,
Abhd10,-0.049107494,0.823618711,,,
RP23-5P19.10,-0.049127066,NA,,,
RP23-380F8.2,-0.049129887,0.875339808,,,
RP23-20F10.1,-0.049174024,NA,,,
Il1f5,-0.049198386,0.877585618,,,
Zmym5,-0.049222127,0.798577473,,,
Mfap1a,-0.049250311,0.731029158,,,
Fndc1,-0.049269965,NA,,,
Gm24400,-0.049269965,NA,,,
RP23-143B14.1,-0.049271861,NA,,,
Gm23303,-0.049320585,NA,,,
Ibtk,-0.049324039,0.67938604,,,
RP24-300L5.1,-0.049332678,0.873990834,,,
RP23-32A8.10,-0.049336105,NA,,,
Tdh,-0.049336105,NA,,,
Aim2,-0.049370433,NA,,,
Emc4,-0.049389925,0.671369644,,,
Fam13c,-0.049393295,NA,,,
RP23-61D6.3,-0.049462124,NA,,,
RP23-15K13.2,-0.049463854,0.872515163,,,
Comt,-0.049486984,0.622709264,,,
Wdr59,-0.049536168,0.772038923,,,
Tbc1d17,-0.049546405,0.766544231,,,
Them4,-0.049562673,0.86948886,,,
Mst1r,-0.049579141,0.673104745,,,
Ldb1,-0.049597973,0.587117914,,,
Hdac11,-0.049616198,0.866838444,,,
Stat6,-0.049622792,0.542805836,,,
Ttl,-0.049628538,0.698701589,,,
Eid2b,-0.049657779,0.876864533,,,
Gucd1,-0.049687759,0.753257567,,,
Serpina1e,-0.049697774,NA,,,
Pvr,-0.049754268,0.804744178,,,
Gna14,-0.049757958,NA,,,
Faap100,-0.049825709,0.682309051,,,
Irf2bp2,-0.049835044,0.531641672,,,
Apol10b,-0.049838013,NA,,,
Gna11,-0.049875061,0.587958465,,,
RP23-325E4.5,-0.049882669,0.653840152,,,
Vps35,-0.049897375,0.547449857,,,
RP23-79O10.5,-0.04994699,NA,,,
RP23-126N4.3,-0.049955898,NA,,,
Gli3,-0.049978295,0.785593594,,,
Map4k2,-0.049981028,0.637504208,,,
Dnah1,-0.049993319,NA,,,
RP23-383P18.3,-0.049993319,NA,,,
Smarcd3,-0.049993319,NA,,,
Tmem269,-0.049993319,NA,,,
Lmtk3,-0.050021085,NA,,,
Pigo,-0.050038725,0.748632953,,,
Ube2v1,-0.050118973,NA,,,
RP23-236D19.3,-0.050153448,NA,,,
RP23-250G8.13,-0.050178695,0.874628783,,,
Alkbh3,-0.050194661,0.807714484,,,
Ascc3,-0.050201246,0.526953326,,,
Pick1,-0.050221637,0.866881179,,,
Akap4,-0.050241278,NA,,,
RP24-316P8.1,-0.050249287,NA,,,
Ints4,-0.050258085,0.664622761,,,
RP23-169M4.4,-0.050277812,NA,,,
Ip6k1,-0.050348791,0.646061511,,,
AC113182.4,-0.05035352,0.837757932,,,
Larp1b,-0.050401195,0.722486061,,,
Amz2,-0.05042064,0.672969156,,,
Kdelr2,-0.050476108,0.553936332,,,
Gm24671,-0.050501198,NA,,,
Trim13,-0.050551191,0.653712464,,,
Bdh1,-0.050633081,0.658845285,,,
Phf20l1,-0.050649128,0.629919598,,,
Rnf123,-0.050678605,0.763673354,,,
Nxnl2,-0.050699596,NA,,,
n-R5s200,-0.050725332,NA,,,
Gm25282,-0.050748625,NA,,,
Klk5,-0.050748625,NA,,,
Pet2,-0.050748625,NA,,,
Acbd7,-0.050749004,NA,,,
Trpc5os,-0.050749004,NA,,,
Paqr3,-0.050756793,0.839839422,,,
Myo1e,-0.050784148,0.517737894,,,
Ccno,-0.05079824,NA,,,
Pcnx,-0.050807525,0.639260293,,,
Prdx3,-0.050808404,0.514560761,,,
Aspscr1,-0.050812046,0.703208054,,,
Rab1b,-0.050866345,0.542523288,,,
RP24-534N1.1,-0.050896708,NA,,,
RP23-182M12.3,-0.051003107,NA,,,
Mtl5,-0.051009643,NA,,,
Atn1,-0.051025991,NA,,,
Fcgr3,-0.051033799,NA,,,
RP23-3K10.3,-0.051051258,0.86948886,,,
AC101869.3,-0.051059796,NA,,,
Gbx2,-0.051086707,NA,,,
RP23-16G3.1,-0.051095972,NA,,,
Mir6995,-0.051114576,NA,,,
Pafah1b2,-0.051146589,0.486368045,,,
Pi4k2b,-0.05116494,0.595157952,,,
RP23-62E9.3,-0.051178248,NA,,,
RP23-238C13.2,-0.051195442,NA,,,
Tigd3,-0.051210479,0.872515163,,,
Clca3a1,-0.051228356,NA,,,
Obscn,-0.051233684,NA,,,
Lactb2,-0.051246606,0.647701064,,,
Slc9a6,-0.051291294,0.707660748,,,
RP23-8E3.2,-0.051304376,NA,,,
Kremen1,-0.051327731,0.585060319,,,
Scarb2,-0.051349433,0.542523288,,,
RP24-146I24.12,-0.051365551,NA,,,
Pcyt1a,-0.051369215,0.596894749,,,
Mrs2,-0.051397171,0.676197866,,,
Dync1li2,-0.051412152,0.527754194,,,
Ankra2,-0.051418023,0.782633683,,,
RP23-326F22.4,-0.05142442,NA,,,
Tbc1d7,-0.051445899,0.81720212,,,
AC102077.1,-0.051465864,0.79026827,,,
Gadd45b,-0.051479857,0.743416894,,,
Tgfb1,-0.051482857,0.728682967,,,
RP23-277H6.1,-0.051483092,NA,,,
Lppos,-0.051487925,0.871988177,,,
RP23-103G18.7,-0.051548597,NA,,,
Itpkc,-0.051562146,0.767940005,,,
Ippk,-0.051594839,0.709895262,,,
Slc18b1,-0.051601745,NA,,,
Gm22518,-0.051626728,NA,,,
Marcksl1,-0.051629334,0.528734308,,,
RP23-316L10.2,-0.051647054,0.840627789,,,
Fancg,-0.051661608,0.811460012,,,
Atp8a2,-0.051668682,NA,,,
Sprr2d,-0.051686061,0.869215014,,,
RP23-383F20.7,-0.051689175,NA,,,
H2-Q10,-0.051728328,0.867119921,,,
Uqcrc1,-0.051741653,0.508124704,,,
RP23-383I7.4,-0.051744748,NA,,,
Mcts1,-0.051778699,0.717788566,,,
Gpc3,-0.051833137,NA,,,
Olfr685,-0.051833137,NA,,,
Chmp3,-0.051833361,0.56058694,,,
RP23-54G12.5,-0.051899037,0.871273547,,,
Fam208a,-0.051916368,0.693723452,,,
Cltb,-0.051967353,0.623360101,,,
Mir6942,-0.052060114,NA,,,
Ppard,-0.05206448,0.752368396,,,
RP24-97K3.3,-0.052082845,NA,,,
RP23-60K23.3,-0.052087094,NA,,,
Smim1,-0.052087094,NA,,,
Zfp276,-0.052110365,0.729805726,,,
Aph1a,-0.052160456,0.719851349,,,
Hvcn1,-0.052161767,NA,,,
Pnpo,-0.052178587,0.746542145,,,
Ccdc159,-0.052195232,0.869876896,,,
RP23-26I10.3,-0.052230948,NA,,,
Irf5,-0.052251099,NA,,,
Fas,-0.052256397,0.768477027,,,
Tcf25,-0.052257889,0.484326029,,,
Fstl3,-0.052258227,NA,,,
Cox19,-0.052266904,0.777349095,,,
Pcdhga2,-0.052273151,NA,,,
Ptprj,-0.052279757,0.733661377,,,
Spcs1,-0.052300282,0.591979831,,,
RP23-20I24.2,-0.052310733,NA,,,
RP23-336O18.2,-0.052346154,NA,,,
Zmpste24,-0.052389298,0.590922063,,,
AC121845.3,-0.052408931,NA,,,
Ppp1cb,-0.052427284,0.621936127,,,
Socs5,-0.052460628,0.660367232,,,
RP24-89J3.4,-0.052473573,NA,,,
RP24-500I24.2,-0.052477885,NA,,,
Adamts8,-0.052488053,NA,,,
Eps15,-0.052488763,0.610092936,,,
Slc35g1,-0.052491787,0.869215014,,,
Phgr1,-0.052519136,NA,,,
RP23-26N21.1,-0.052539899,NA,,,
RP24-390D14.9,-0.052551157,NA,,,
Sys1,-0.052571571,0.704051276,,,
RP24-125F23.4,-0.052599869,NA,,,
RP23-349H12.7,-0.052620074,NA,,,
H2-M3,-0.052665372,0.842365904,,,
RP23-195K8.8,-0.052666775,NA,,,
RP23-52N2.1,-0.05267136,NA,,,
Lrrc29,-0.052680873,0.862755399,,,
Apbb1,-0.052686113,0.856628194,,,
Myo5c,-0.052768502,0.866746155,,,
Cdhr5,-0.052812511,NA,,,
RP23-451H9.2,-0.052821919,NA,,,
H2-D1,-0.052844069,0.442786866,,,
RP23-349N15.2,-0.052844192,NA,,,
Papss1,-0.052891616,0.56740129,,,
Rel,-0.052896608,0.728559526,,,
Commd6,-0.052912188,0.759699311,,,
RP23-135A21.4,-0.052932662,NA,,,
Gjc2,-0.052973313,NA,,,
Gm25076,-0.05298948,NA,,,
Nppc,-0.052999991,NA,,,
Cnpy2,-0.053032601,0.67938604,,,
Grid1,-0.053055354,NA,,,
Pyurf,-0.053063759,0.797549422,,,
Pde12,-0.053110181,0.677180884,,,
Vsig8,-0.053125583,0.862710873,,,
Dgcr6,-0.053137085,0.756634311,,,
Gm26533,-0.053185976,NA,,,
Tpbg,-0.053191634,0.537406352,,,
Sept8,-0.053213621,0.50292043,,,
Lurap1l,-0.053221696,0.79102277,,,
Slc39a9,-0.053241353,0.695318221,,,
Atxn2l,-0.053292362,0.72065189,,,
Eprn,-0.053365448,NA,,,
Zscan18,-0.05340587,NA,,,
RP24-80O23.1,-0.053419067,NA,,,
Aktip,-0.053453424,0.67952875,,,
Sprr2i,-0.053483293,NA,,,
Ifi207,-0.053484249,NA,,,
Pigl,-0.05350212,0.865847829,,,
Hdac3,-0.053535877,0.516788658,,,
Il18r1,-0.053537131,0.856469365,,,
Ergic2,-0.053540292,0.456357898,,,
RP23-79J15.2,-0.053576651,NA,,,
AC111124.2,-0.053583588,NA,,,
RP24-63G9.2,-0.053583588,NA,,,
RP24-85M20.1,-0.053583588,NA,,,
Sez6l,-0.053583588,NA,,,
RP23-5A19.7,-0.053606705,0.755830076,,,
Mcur1,-0.053667343,0.803389951,,,
Gckr,-0.05371811,NA,,,
RP23-459B8.2,-0.05371811,NA,,,
H2-M2,-0.053726888,NA,,,
Nccrp1,-0.053726888,NA,,,
RP23-335D20.1,-0.053728096,NA,,,
RP23-218K15.3,-0.053764062,NA,,,
Mvk,-0.053765461,0.590945199,,,
Gm22247,-0.053784627,NA,,,
RP23-235J20.4,-0.053795431,NA,,,
Rap1a,-0.053817447,0.763673354,,,
Gm24596,-0.053870762,NA,,,
Serpinb1c,-0.053897459,NA,,,
Olfr1441,-0.053897642,NA,,,
RP23-149D11.5,-0.053945711,NA,,,
Ephb2,-0.053956906,0.816361286,,,
n-R5s189,-0.053959817,NA,,,
RP23-284L6.7,-0.05396845,0.682051304,,,
Tmem199,-0.053974115,0.65254853,,,
RP23-79E13.7,-0.053980293,0.763673354,,,
RP24-414B1.1,-0.054004682,NA,,,
Rnf32,-0.054029346,0.860283935,,,
Col4a5,-0.054044968,0.862834513,,,
Rps6ka4,-0.054069798,0.503204975,,,
Btd,-0.05408474,0.810761244,,,
Gm23136,-0.054123721,NA,,,
RP23-232K16.2,-0.054126621,NA,,,
RP23-58N15.8,-0.054128754,NA,,,
Arnt,-0.054151051,0.637504208,,,
Krt32,-0.054156562,NA,,,
Kalrn,-0.054160115,0.72065189,,,
RP24-300N16.3,-0.054160628,0.851166944,,,
Srd5a3,-0.054164681,0.729234382,,,
Snx12,-0.054167599,0.623551731,,,
RP23-436E24.2,-0.054176775,NA,,,
Arhgap18,-0.054184336,0.769675949,,,
Fth1,-0.054189932,0.404398462,,,
Lipc,-0.054247821,NA,,,
Alg10b,-0.054264147,0.580931244,,,
RP23-256J14.1,-0.054280081,NA,,,
Snx3,-0.05429806,0.544744496,,,
Hip1r,-0.054345221,0.520671579,,,
Zfp329,-0.0543533,0.769026543,,,
RP23-200M5.8,-0.05440707,NA,,,
RP23-410K18.2,-0.054410924,NA,,,
RP23-105P9.3,-0.054413611,0.856628194,,,
Zfp526,-0.054434817,0.780741464,,,
Mir155hg,-0.054491056,NA,,,
RP24-363O21.4,-0.054497549,0.861965929,,,
Usp17le,-0.054511948,NA,,,
RP23-100C12.2,-0.054526566,NA,,,
RP23-23C9.1,-0.054533687,NA,,,
Agrp,-0.054582146,NA,,,
RP23-268A12.1,-0.054588477,NA,,,
RP23-386K20.6,-0.054608424,NA,,,
Edf1,-0.054625194,0.523321083,,,
Ccdc191,-0.054644826,0.800329011,,,
Styk1,-0.054671459,0.862590804,,,
RP23-193B21.1,-0.054716441,NA,,,
Ddhd2,-0.054719086,0.699829572,,,
RP23-457F4.2,-0.05473262,NA,,,
Rbm18,-0.054739114,0.644290654,,,
Nfya,-0.054751343,0.656192367,,,
Ndufv2,-0.054781022,0.546900044,,,
RP24-191L21.2,-0.054840176,NA,,,
Wdr5b,-0.054845512,0.847320871,,,
Akr7a5,-0.05485323,0.766051717,,,
Myb,-0.054871515,0.861152608,,,
Gm17315,-0.054880783,NA,,,
Stt3b,-0.054885223,0.389019974,,,
RP23-461O23.2,-0.054908254,0.861965929,,,
Gm22748,-0.054911177,0.823408686,,,
RP23-348P7.1,-0.054975583,0.854192589,,,
Trim32,-0.054987492,0.648196265,,,
RP24-216B14.2,-0.055005603,NA,,,
Card19,-0.05506277,0.799748596,,,
RP23-368O6.1,-0.055067547,NA,,,
RP24-79I19.5,-0.055079211,0.850183587,,,
RP24-230J14.10,-0.055082658,NA,,,
Vti1b,-0.05509495,0.581301328,,,
RP23-218L17.1,-0.0551002,0.720476004,,,
Arel1,-0.055112863,0.622502875,,,
RP23-395H6.2,-0.055118739,0.837108888,,,
Snord53,-0.05512237,0.859515692,,,
Cpne3,-0.055124767,0.517227327,,,
Zfp445,-0.055137062,0.526115726,,,
Serf2,-0.055139619,0.547845505,,,
Nmnat2,-0.055155979,NA,,,
RP24-192L21.2,-0.05520451,NA,,,
Zfp799,-0.055221374,0.785135573,,,
Prickle1,-0.055225172,0.829150732,,,
Zfyve26,-0.055232266,0.695318221,,,
RP23-70A15.2,-0.055238576,0.837813743,,,
Psma2,-0.055272311,0.412992421,,,
RP24-365B9.1,-0.055274328,NA,,,
Pcdhb10,-0.055310632,NA,,,
Sord,-0.055342402,0.641988501,,,
Plp1,-0.055355895,0.856469365,,,
Faxc,-0.055366066,0.807071347,,,
Gpx4,-0.055378889,0.641164522,,,
Trac,-0.055381898,NA,,,
Mamld1,-0.05538502,NA,,,
Gprin2,-0.055419554,NA,,,
Mlana,-0.055463947,NA,,,
RP23-293K21.4,-0.055463947,NA,,,
Rtcb,-0.055464506,0.483500259,,,
Sh3bp4,-0.055476323,0.596194931,,,
Wfdc2,-0.055484797,0.62423523,,,
Cnot7,-0.055504944,0.616319831,,,
Zeb2,-0.05552324,NA,,,
AC102121.3,-0.055643235,NA,,,
RP23-264G9.1,-0.055648684,NA,,,
Pgs1,-0.055695852,0.542805836,,,
AC109152.2,-0.055731168,0.731773337,,,
Uchl4,-0.055763624,0.860512358,,,
Odf4,-0.055792783,NA,,,
Pgrmc1,-0.055801122,0.507991226,,,
Mapk1ip1,-0.055811705,0.860155377,,,
RP23-337M17.4,-0.055819682,NA,,,
Ctbp2,-0.055822865,0.58407883,,,
Sft2d2,-0.055827115,0.529505093,,,
Xrn1,-0.055911274,0.66138629,,,
Ppef2,-0.055916559,0.85991084,,,
Bloc1s5,-0.055921839,0.762503235,,,
Herc2,-0.055959637,0.540508292,,,
RP24-317P24.1,-0.055978253,NA,,,
AC151736.3,-0.055984081,NA,,,
RP23-307B15.1,-0.05599771,NA,,,
RP23-390D8.2,-0.056002446,NA,,,
RP24-476A4.4,-0.056026817,NA,,,
Dnajc19,-0.056082776,0.756490746,,,
Mpv17,-0.056090693,0.688408594,,,
RP24-429G21.7,-0.056099139,NA,,,
AC158304.5,-0.056120594,NA,,,
Rbm15b,-0.056120829,0.495967633,,,
Dcaf7,-0.056122184,0.414095896,,,
RP23-126N4.1,-0.056137384,NA,,,
RP23-42O8.7,-0.05614062,NA,,,
Tmem184b,-0.056156287,0.664622761,,,
RP23-415C3.7,-0.056158293,NA,,,
Nmt2,-0.056159157,0.452817527,,,
Fbxl13,-0.056160555,NA,,,
Spsb3,-0.056203414,0.742056698,,,
Csnk1g1,-0.056213794,0.562078571,,,
RP23-393I12.5,-0.056216049,NA,,,
Ptpra,-0.056220685,0.510934673,,,
Cd27,-0.056222794,NA,,,
Nfix,-0.056280934,0.768773851,,,
Gm25291,-0.056292011,0.854077819,,,
Nt5c2,-0.056295158,0.554440917,,,
RP23-317E13.4,-0.05633979,NA,,,
RP23-451D4.8,-0.05633979,NA,,,
Fhod1,-0.056381948,0.800143177,,,
Ercc4,-0.056392272,0.765482297,,,
RP23-330D3.6,-0.056408196,0.845445058,,,
RP24-380K14.3,-0.056429702,NA,,,
Arhgap22,-0.056436645,0.717669937,,,
RP23-145G7.2,-0.056440838,NA,,,
Atat1,-0.056444506,0.841203625,,,
Zfp51,-0.056475327,0.731773337,,,
RP23-102M4.6,-0.056492975,NA,,,
Gm6297,-0.056498858,NA,,,
Med1,-0.056575621,0.474246557,,,
Gm24920,-0.056577218,NA,,,
Cdk12,-0.056593776,0.500270691,,,
8030462N17Rik,-0.056605528,0.62914508,,,
AC133195.2,-0.05660885,0.857755401,,,
Ero1lb,-0.056610516,0.85161835,,,
Zfp106,-0.056620698,0.456056552,,,
Magi2,-0.056638265,0.852960669,,,
Rilp,-0.056638338,0.851166944,,,
Prdx2,-0.056647211,0.502859638,,,
Tspan33,-0.056651072,NA,,,
Mov10,-0.056652358,0.634963653,,,
Rab3a,-0.056662606,0.852960669,,,
Pcdhga9,-0.056704386,NA,,,
Col8a2,-0.056720254,NA,,,
Rsbn1l,-0.056746979,0.754478655,,,
Mir24-1,-0.056755665,0.844318975,,,
Rad23b,-0.056831237,0.373105041,,,
Prdx1,-0.056845538,0.352687601,,,
Hmgn5,-0.056848062,0.854287431,,,
RP23-380F8.1,-0.056857102,NA,,,
Gnptg,-0.056879262,0.763673354,,,
RP23-332P1.1,-0.056885544,NA,,,
Mgat1,-0.056923743,0.570905748,,,
AC140190.2,-0.056930962,NA,,,
RP24-190H19.2,-0.056954408,NA,,,
Etfa,-0.056966158,0.61119964,,,
RP23-181P23.4,-0.056968785,NA,,,
Vta1,-0.056968978,0.566729054,,,
Exph5,-0.057005456,0.808163841,,,
Tmem261,-0.057010871,0.751381289,,,
RP23-383A10.7,-0.0570349,NA,,,
Copg2,-0.057059858,0.466353823,,,
RP23-249K18.3,-0.057124074,NA,,,
Asap3,-0.057145009,0.829359205,,,
RP23-236D19.10,-0.057158001,0.851166944,,,
Zfp174,-0.057164895,0.854077819,,,
Pgrmc2,-0.057188393,0.57096498,,,
Sumf2,-0.05718891,0.69668318,,,
Kdm4b,-0.057203783,0.703440851,,,
Abcb7,-0.057206953,0.66448627,,,
RP24-472L9.1,-0.057237607,NA,,,
Sp3os,-0.05725257,0.848405061,,,
Rps6ka1,-0.057275877,0.555335876,,,
Top2b,-0.057276322,0.556362023,,,
Ralgps2,-0.057307635,0.53779858,,,
Tmem160,-0.057310879,0.822421393,,,
Gm24095,-0.057313063,NA,,,
Ncoa2,-0.057328838,0.606273813,,,
Yod1,-0.05733299,0.702879407,,,
RP24-198O18.1,-0.057346545,NA,,,
Gdap2,-0.057390243,0.716733493,,,
RP23-189N8.1,-0.057404917,0.846872949,,,
Mycbp,-0.057419575,0.679233901,,,
Cryl1,-0.057490697,0.84664628,,,
Gm25994,-0.057527122,0.749583702,,,
Far2os1,-0.057529769,NA,,,
RP23-206D14.1,-0.057537922,NA,,,
Mrps2,-0.057542334,0.611875167,,,
Homer2,-0.057555185,NA,,,
Spindoc,-0.05755753,0.643768699,,,
2010003K11Rik,-0.057580328,NA,,,
Mir421,-0.057580328,NA,,,
Nmt1,-0.057580984,0.414785034,,,
Hexdc,-0.057599451,0.821530296,,,
Foxf2,-0.057611375,0.823618711,,,
RP24-276A6.1,-0.057644211,NA,,,
Nploc4,-0.057663736,0.42668324,,,
Kcnrg,-0.057694189,0.849353792,,,
Wbscr17,-0.057701032,NA,,,
Zfp931,-0.05770288,0.820579573,,,
Fktn,-0.05772544,0.634393945,,,
Wdsub1,-0.057767372,0.707889682,,,
Paqr4,-0.057806018,0.843626192,,,
Hdac1,-0.05780864,0.699754632,,,
Srp14,-0.057834972,0.464254946,,,
RP23-106F10.2,-0.057842574,NA,,,
Tmem63b,-0.057854682,0.530048121,,,
Ctsa,-0.05788233,0.839839422,,,
Col6a6,-0.057886012,NA,,,
Anapc2,-0.057891387,0.498998248,,,
Sun1,-0.057916344,0.496434308,,,
Cant1,-0.057952907,0.702769105,,,
Abi3bp,-0.057973651,NA,,,
Caln1,-0.057973651,NA,,,
Cdk5r2,-0.057973651,NA,,,
Crhr2,-0.057973651,NA,,,
Gm27444,-0.057973651,NA,,,
Jchain,-0.057973651,NA,,,
RP23-329B6.2,-0.057973651,NA,,,
RP24-496L23.1,-0.057973651,NA,,,
Lmf1,-0.057987143,0.807091981,,,
Gm10447,-0.058002178,NA,,,
Adgra1,-0.058113788,NA,,,
Gm10644,-0.058117064,NA,,,
Lrp3,-0.058117064,NA,,,
Egr1,-0.058121018,0.853324537,,,
Mrrf,-0.058123604,0.626244999,,,
RP24-467O4.3,-0.058126205,NA,,,
Epha4,-0.058141689,0.583981242,,,
RP23-135G19.1,-0.058176206,NA,,,
Denr,-0.058184607,0.458279243,,,
Gtf3c3,-0.058218979,0.520234675,,,
Chmp2a,-0.058240329,0.496107678,,,
Rprd1b,-0.058243331,0.637504208,,,
Fdft1,-0.058281199,0.530011157,,,
RP23-442M18.1,-0.058300503,NA,,,
RP23-38L11.4,-0.058341045,NA,,,
Zfp113,-0.058348126,0.711428415,,,
Tcaf2,-0.058351793,NA,,,
Otud3,-0.058418314,0.769675949,,,
Vopp1,-0.058427406,0.49812407,,,
Brf2,-0.058496983,0.783036874,,,
Gm996,-0.058505632,NA,,,
Cwc15,-0.058508098,0.510681181,,,
Hsd3b7,-0.05851382,NA,,,
RP23-186O3.11,-0.058595391,NA,,,
Tnfrsf12a,-0.058596562,0.491130965,,,
RP24-351O18.4,-0.05861661,NA,,,
RP23-402P24.5,-0.058636218,NA,,,
RP23-291E6.6,-0.058751455,NA,,,
Surf1,-0.05875872,0.63200335,,,
RP23-479D21.3,-0.058765235,NA,,,
Meis1,-0.058791898,0.728103021,,,
Rnf208,-0.058799158,NA,,,
Crk,-0.058799903,0.38142557,,,
Rprd2,-0.058815169,0.698472725,,,
Man2a1,-0.058832762,0.425268984,,,
Unc50,-0.058844704,0.597265638,,,
Atxn7l3b,-0.058876747,0.419043371,,,
Ddr2,-0.058918631,NA,,,
Rftn2,-0.058952313,NA,,,
Yjefn3,-0.058955243,0.847927269,,,
Mfsd12,-0.058986226,0.807526896,,,
Pinlyp,-0.058995305,NA,,,
Gt(ROSA)26Sor,-0.059016488,0.782087077,,,
Lat,-0.059061526,NA,,,
Enthd2,-0.059075724,0.690110387,,,
Lsm14b,-0.059108506,0.582747552,,,
Gpr180,-0.059108837,0.704322435,,,
4930426L09Rik,-0.059163331,NA,,,
Osbpl11,-0.059178829,0.542511101,,,
Tep1,-0.059181773,0.812589765,,,
Lta4h,-0.059218295,0.488488411,,,
RP23-296D10.3,-0.059235078,NA,,,
RP23-333I5.4,-0.059235078,NA,,,
Pafah1b3,-0.059243029,0.652234138,,,
RP23-210M6.5,-0.059262949,0.826511074,,,
B930094E09Rik,-0.059277474,NA,,,
Cmas,-0.059282828,0.600535107,,,
RP23-207L14.2,-0.059314564,NA,,,
Mkx,-0.059331067,0.736252815,,,
Kdm2a,-0.059408836,0.316885768,,,
RP23-204N23.3,-0.059436802,NA,,,
Sft2d1,-0.059450782,0.814466424,,,
Gramd1a,-0.059460504,0.72065189,,,
Smg7,-0.059466499,0.518409715,,,
Elp6,-0.05947819,0.759912548,,,
Actc1,-0.059482188,NA,,,
Adgrg6,-0.059489672,NA,,,
RP23-262K24.2,-0.059537865,NA,,,
Fermt3,-0.059563816,0.847112857,,,
RP23-434H17.4,-0.059591796,NA,,,
Zfp384,-0.059599473,0.690910385,,,
Icosl,-0.059616109,0.828321854,,,
Irx3,-0.059626665,0.823553574,,,
Dnm2,-0.059640789,0.443601453,,,
Cnot2,-0.059667183,0.404591898,,,
Hes1,-0.059679047,0.514538538,,,
Vps13b,-0.059690543,0.514840953,,,
Muc13,-0.059704418,NA,,,
Usp13,-0.059730829,NA,,,
RP23-388H13.4,-0.059766488,0.659034229,,,
RP23-247A1.6,-0.059768605,NA,,,
Rnf7,-0.059802087,0.570937629,,,
S100pbp,-0.059825599,0.696995603,,,
Slc25a40,-0.059829986,0.769157079,,,
Ppp1r18,-0.059867262,0.626244999,,,
Tnnc1,-0.059882549,0.846872949,,,
RP23-453B15.7,-0.059910514,0.846922096,,,
Catip,-0.059938069,NA,,,
Nup188,-0.059940598,0.410537506,,,
Eif4ebp2,-0.059944902,0.709549807,,,
Pnn,-0.059946683,0.600659904,,,
Ptch1,-0.059958213,0.581007716,,,
RP24-532L14.3,-0.060001118,NA,,,
RP23-45G16.11,-0.060012849,NA,,,
Ppp1r15a,-0.060016502,0.738889955,,,
Cps1,-0.060019157,NA,,,
Klra6,-0.060019157,NA,,,
RP23-315C11.5,-0.060019157,NA,,,
RP24-324I23.4,-0.060048956,NA,,,
AC127556.5,-0.060101187,NA,,,
